system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,540960.4657353988,1,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,14872.899106494406,1,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,18198.916822332292,1,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5196.713969999653,1,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,15.269445295776368,1,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,775.3509123871594,1,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1765.5703825971746,1,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,867.1444569214078,1,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,76.54472964474859,1,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,22417.52909617369,2,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2326131.785900344,2,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,40375.459783322956,2,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5896.222038793039,2,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.679203595764161,2,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7546.388805508461,2,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1020.5509797334902,2,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,699.612937739481,2,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,77.41675814016232,2,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.013409351928710938,2,5,EAF,10,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,26613.57022977352,3,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,35417.40613501831,3,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1531534.0702773866,3,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,13452.071762931644,3,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,31.725927106689454,3,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,3786.2092461568677,3,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,949.5751468790747,3,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2280.9091668383626,3,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,144.82685094462795,3,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0125153701171875,3,5,EAF,10,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,7401.402398650884,4,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,6417.133280224795,4,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,14512.605733766202,4,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,789054.9399897222,4,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,82.14333610279205,4,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,922.8104300059126,4,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,695.1207184778818,4,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,6775.194405123339,4,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,80.13992771234585,4,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,43.25701795446777,5,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,10.350592908498248,5,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,50.761135991027835,5,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,51.976049189482325,5,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,515.8132503348755,5,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.6603476024780274,5,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1.954588444519043,5,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,34.05469978447911,5,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.27662710162353515,5,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,726.2452921856703,6,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,7582.981752357893,6,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,5823.960524771448,6,5,EAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,838.5169734697112,6,5,EAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1.5120774265136718,6,5,EAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,55457.26877307187,6,5,EAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,22.75392940944106,6,5,EAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,777.228542086841,6,5,EAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2370.026732365332,6,5,EAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,8.927196044921875E-4,6,5,EAF,10,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1936.0375275193148,7,5,EAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,865.4512438978007,7,5,EAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
