system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,244903.7148295326,1,5,MED,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2669.28829060868,1,5,MED,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2413.625490692415,1,5,MED,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,23.63276250527272,1,5,MED,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,10.598180659421432,1,5,MED,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,121.88655405334903,1,5,MED,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1865.1300955668446,1,5,MED,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13277.070265375653,1,5,MED,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,32.987754228898595,1,5,MED,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2327.8815369976123,2,5,MED,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35295.4628327434,2,5,MED,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1013.439036711128,2,5,MED,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.3621597838134765,2,5,MED,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4569576236572266,2,5,MED,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,12.465126606755511,2,5,MED,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,49.39424917914345,2,5,MED,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,422.33062739313704,2,5,MED,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.917436373954025,2,5,MED,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1931.2027849484773,3,5,MED,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1104.6815794241872,3,5,MED,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,35502.74728957808,3,5,MED,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6883638038330078,3,5,MED,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.666788811218262,3,5,MED,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,15.892321201567526,3,5,MED,6,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,102.51351417064473,3,5,MED,7,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,456.23940088281375,3,5,MED,8,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,6.020790825999062,3,5,MED,9,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,38.14396553347527,4,5,MED,1,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.523616396118164,4,5,MED,2,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6030130373535156,4,5,MED,3,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,22.541943819198785,4,5,MED,4,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.042119372009277345,4,5,MED,5,2015,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
