system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,215065.83103464547,1,5,SAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8438.885452294318,1,5,SAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,16385.53366216242,1,5,SAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6159.8562369244755,1,5,SAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,25.90955975678639,1,5,SAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,451.95743078681517,1,5,SAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,606.2240076675829,1,5,SAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,391.1978757552022,1,5,SAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,136.35040552947402,1,5,SAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,11266.349378885034,2,5,SAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015566.7582279022,2,5,SAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,58644.72322417449,2,5,SAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,17089.75288321674,2,5,SAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.082851626059619,2,5,SAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5595.048377477008,2,5,SAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,868.4241133472889,2,5,SAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,397.0572829233959,2,5,SAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,204.98521279907706,2,5,SAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,18723.21171874067,3,5,SAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,55216.336847959625,3,5,SAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1846383.609193813,3,5,SAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,55537.54252249282,3,5,SAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,75.6366745705138,3,5,SAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,3153.241962377407,3,5,SAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1721.1548245570323,3,5,SAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,3664.247835225107,3,5,SAF,8,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,417.2601869019962,3,5,SAF,9,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,5853.819533427385,4,5,SAF,1,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,16012.87342150901,4,5,SAF,2,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,52123.227965161,4,5,SAF,3,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,901771.0538536622,4,5,SAF,4,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,78.30516079676634,4,5,SAF,5,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1672.2090726233337,4,5,SAF,6,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,999.3785120924294,4,5,SAF,7,2010,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
