system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,32135.111016766252,1,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,181.39211627715298,1,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,206.50571907928875,1,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2768.055049888998,1,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.7257151923828125,1,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,52.781045401444736,1,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,216.71812499122365,1,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,661.9507188784046,1,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,11.897295402734136,1,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,184.02881342203347,2,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3878.423423049774,2,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,104.24920496014404,2,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,221.17028968293337,2,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3670765328979492,2,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,42.02549504032629,2,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9.510118705674834,2,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,71.38779736030727,2,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.8697671370023836,2,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,163.54648914015422,3,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,109.37768838354492,3,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,14302.423955204105,3,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2760.5714034321713,3,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.37102191204834,3,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,39.49079464994017,3,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,8.97409440625,3,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1158.682939648296,3,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,9.943001204775342,3,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2981.2085816226013,4,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,430.28826701904296,4,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2929.371399521418,4,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,447673.05982702476,4,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,31.0211268538208,4,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,813.3899188469812,4,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,267.3399519241333,4,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,16873.272185409227,4,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,96.8984304979248,4,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3.6639523991699217,5,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.8685867513427734,5,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,5.156178839538574,5,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,38.55435569616699,5,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,356.79399952158036,5,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.05989002807617187,5,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1.2923254986572266,5,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,47.82582553326416,5,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.018637867126464844,5,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,64.97864251908126,6,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,41.87476908079163,6,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,59.25393696264793,6,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,728.8495422768367,6,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.020629123107910156,6,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5921.425332834916,6,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5.1569307756400296,6,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,871.4308396787566,6,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,670.5122855933116,6,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,170.4057023585619,7,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.944240193274883,7,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,8.463866506958007,7,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,223.31127181921815,7,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.6996683423461914,7,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,6.245302282013058,7,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,5502.651371235268,7,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,401.736801288824,7,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,10.631716959454705,7,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,1148.7099900746123,8,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,86.31746598248792,8,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,1416.329612926111,8,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,12876.280648775659,8,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,38.604799465393064,8,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,1158.0807831348352,8,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,596.4375096778857,8,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,8208055.914623077,8,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,216.45028572051763,8,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,118.29234323507869,9,5,SAH,1,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,10.773945783558567,9,5,SAH,2,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,52.911976603796624,9,5,SAH,3,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,254.35296213378905,9,5,SAH,4,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.1480211796875,9,5,SAH,5,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1620.8912501676116,9,5,SAH,6,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,39.78086956346842,9,5,SAH,7,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,687.860674226112,9,5,SAH,8,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,9691.180045591564,9,5,SAH,9,2005,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
