system:index,area_km2,from_class,interval_duration_yrs,region,to_class,year_final,year_initial,.geo
0,424881.86267662386,1,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,619.173810824053,1,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1575.9524129702115,1,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3961.4552121761694,1,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.134765260834817,1,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,198.5661504037559,1,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,29.975914349827924,1,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.636180197343415,1,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1607.624894576681,2,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4567096.109702171,2,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7615.196081884038,2,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1725.5514031094233,2,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3610.4649974770246,2,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,578.8526047422524,2,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,15.913061684230671,2,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,21.480331228973746,2,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2865.2211879400875,3,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3835.721800473458,3,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,854324.1256796172,3,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6569.481237507001,3,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,102.71395028656508,3,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,240.99286329914287,3,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.777774513244629,3,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,5.21110387834664,3,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,6324.940572020209,4,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,859.3055538687083,4,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3335.0435956171414,4,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1108319.7343320122,4,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,880.0524371741915,4,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,531.2570617457035,4,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3343.5760824107,4,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,37.73203385923283,4,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3.1547073950195315,6,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1775.316702788555,6,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,21.742830686662266,6,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,307.17637671939053,6,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,207974.50193892064,6,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1.650382704829676,6,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.905158157104492,6,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,115.3876269192507,6,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4.417336137084961,7,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,14140.67671411251,7,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.015131139770507812,7,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,53.74136263340901,8,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,43.386346080688476,8,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,3.4738321422861134,8,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2109.2945395783045,8,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,44.588847699285765,8,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,9.90664183228233,8,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,195142.49350796215,8,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.5137834314237706,8,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2.3761802060027475,9,5,WAF,1,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,35.73829717163086,9,5,WAF,2,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,3.245977889566818,9,5,WAF,3,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,34.29785898062936,9,5,WAF,4,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,927.3393379420734,9,5,WAF,6,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2.2355572697196213,9,5,WAF,7,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,7.520680458489631,9,5,WAF,8,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,45617.76306146209,9,5,WAF,9,1995,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
